Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
UML-based reconfigurable middleware for design-level timing verification in model-based approach,R. Mzid; M. Abid,"CES Laboratory, National school of engineers of Sfax, Tunisia; CES Laboratory, National school of engineers of Sfax, Tunisia",2016 11th International Design & Test Symposium (IDT),,2016,,,181,186,"Model-based approaches for the development of software intensive real-time embedded systems allow early verification of timing properties at the design phase. In order to perform such verification, some aspects of the target software platform (i.e. the Real-Time Operating System (RTOS)) need to be considered such as priorities, scheduling policies, etc. However, one of the basic principles of model-based approaches, is to keep RTOS-independence of the design model. Hence, some assumptions on the software platform are implicitly made to achieve timing verification. This approach may lead to a mismatch between the design model and the RTOS-specific model describing the real-time application and thus, at the implementation level, timing properties may be affected. To tackle this issue, we define in this paper a reconfigurable middleware called RT-Mw. This middleware aims to explicitly describe the software assumptions at the design level for timing verification. Such approach allows early verification of these assumptions before the effective deployment which may prevents the mismatch between the design and the RTOS-Specific models. RT-Mw is described using UML modeling language together with the MARTE Standard.",2162-061X,978-1-5090-4900-4978-1-5090-4899-1978-1-5090-4901,10.1109/IDT.2016.7843037,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7843037,,Unified modeling language;Timing;Real-time systems;Middleware;Concrete;Standards,embedded systems;formal verification;middleware;operating systems (computers);Unified Modeling Language,UML modeling language;reconfigurable middleware;RT-Mw;design-level timing verification;model-based approach;embedded system development;RTOS;real-time operating system,,,13,,,,,,IEEE,IEEE Conferences
User-Centric Network Provisioning in Software Defined Data Center Environment,T. Bakhshi; B. Ghita,NA; NA,2016 IEEE 41st Conference on Local Computer Networks (LCN),,2016,,,289,297,"Present data center (DC) network provisioning schemes primarily utilize conventional load-balancing technologies, offering individual application performance improvement. Diversity in application usage however, makes isolated application prioritization a performance caveat for users with varying application trends. The present paper proposes a user profiling approach to capture application trends based on generic flow measurements (NetFlow) and employs the extracted profiles to create DC traffic forwarding policies. The scheme allows operators to define a global profile and application hierarchy based on extracted profiles to prioritize traffic for individual user classes. The proposed design was tested by extracting user profiles from a realistic enterprise network, and further simulated to dynamically manage DC traffic using the software defined networking paradigm. Compared to conventional traffic management schemes, the frame delivery ratio and effective throughput of our design was significantly higher for high priority north-south user traffic as well as the inter-server east-west application traffic.",,978-1-5090-2054-6978-1-5090-2055,10.1109/LCN.2016.57,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7796801,Data center networking;software defined networking;user traffic profiling,Servers;Bandwidth;Real-time systems;Market research;Protocols;Algorithm design and analysis;Resource management,computer centres;software defined networking,user-centric network provisioning;software defined data center environment;user profiling approach;generic flow measurements;NetFlow;DC traffic forwarding policies;software defined networking paradigm;frame delivery ratio,,1,22,,,,,,IEEE,IEEE Conferences
Using memetic algorithms for test case prioritization in model based software testing,F. M. Nejad; R. Akbari; M. M. Dejam,"Software Engineering Lab, Department of Computer Engineering and IT, Shiraz University of Technology, Shiraz, Iran; Software Engineering Lab, Department of Computer Engineering and IT, Shiraz University of Technology, Shiraz, Iran; Shahabi Software Engineering Lab, Department of Computer Engineering and IT, Shiraz University of Technology, Shiraz, Iran",2016 1st Conference on Swarm Intelligence and Evolutionary Computation (CSIEC),,2016,,,142,147,"Building high quality software is one of the main goals in software industry. Software testing is a critical step in confirming the quality of software. Testing is an expensive activity because it consumes about 30% to 50% of all software developing cost. Today much research has been done in generating and prioritizing tests. First, tester should find the most important and critical path in software. They can reduce cost by finding errors and preventing to propagate it in design step. In this paper, a model based testing method is introduced. This method can prioritize tests using activity diagram, control flow graph, genetic and memetic algorithm. Different version of memetic algorithm has been made by stochastic local search, randomize iterative improvement, hill climbing and simulated annealing algorithms. The results show that the using local search methods with genetic algorithm (GA) provide efficiency and produce competitive results in comparison with GA.",,978-1-4673-8737,10.1109/CSIEC.2016.7482129,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7482129,software testing;prioritization;Genetic;Memetic;Stochastic local search;Randomize iterative improvement;Hill climbing;Simulated annealing,Genetic algorithms;Software;Testing;Unified modeling language;Object oriented modeling;Memetics;Algorithm design and analysis,DP industry;genetic algorithms;program testing;search problems;software cost estimation;software quality,memetic algorithms;test case prioritization;model based software testing;high quality software;software industry;software developing cost;software critical path;cost reduction;model based testing method;activity diagram;control flow graph;genetic algorithm;stochastic local search;randomize iterative improvement;hill climbing;simulated annealing algorithms,,2,22,,,,,,IEEE,IEEE Conferences
Using Software Metrics Thresholds to Predict Fault-Prone Classes in Object-Oriented Software,A. Boucher; M. Badri,NA; NA,"2016 4th Intl Conf on Applied Computing and Information Technology/3rd Intl Conf on Computational Science/Intelligence and Applied Informatics/1st Intl Conf on Big Data, Cloud Computing, Data Science & Engineering (ACIT-CSII-BCD)",,2016,,,169,176,"Most code-based quality measurement approaches are based, at least partially, on values of multiple source code metrics. A class will often be classified as being of poor quality if the values of its metrics are above given thresholds, which are different from one metric to another. The metrics thresholds are calculated using various techniques. In this paper, we investigated two specific techniques: ROC curves and Alves rankings. These techniques are supposed to give metrics thresholds which are practical for code quality measurements or even for fault-proneness prediction. However, Alves Rankings technique has not been validated as being a good choice for fault-proneness prediction, and ROC curves only partially on few datasets. Fault-proneness prediction is an important field of software engineering, as it can be used by developers and testers as a test effort indication to prioritize tests. This will allow a better allocation of resources, reducing therefore testing time and costs, and an improvement of the effectiveness of testing by testing more intensively the components that are likely more fault-prone. In this paper, we wanted to compare empirically the selected threshold calculation methods used as part of fault-proneness prediction techniques. We also used a machine learning technique (Bayes Network) as a baseline for comparison. Thresholds have been calculated for different object-oriented metrics using four different datasets obtained from the PROMISE Repository and another one based on the Eclipse project.",,978-1-5090-4871-7978-1-5090-4872,10.1109/ACIT-CSII-BCD.2016.042,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7916977,Metrics Thresholds;Class-Level Metrics;Object-Oriented Metrics;Faults;Fault-Proneness Prediction;Code Quality;Object-Oriented Programming,Measurement;Prediction algorithms;Testing;Context;Object oriented modeling;Java;Software,learning (artificial intelligence);object-oriented methods;program testing;software metrics;software quality;source code (software),code-based quality measurement;source code metrics;ROC curves;Alves rankings;fault-proneness prediction;software engineering;test effort indication;machine learning;Bayes network;object-oriented metrics;PROMISE repository;Eclipse project,,2,28,,,,,,IEEE,IEEE Conferences
Visualization of combinatorial models and test plans,R. Tzoref-Brill; P. Wojciak; S. Maoz,"School of Computer Science, Tel Aviv University and IBM Research, Israel; IBM Systems, USA; School of Computer Science, Tel Aviv University, Israel",2016 31st IEEE/ACM International Conference on Automated Software Engineering (ASE),,2016,,,144,154,"Combinatorial test design (CTD) is an effective and widely used test design technique. CTD provides automatic test plan generation, but it requires a manual definition of the test space in the form of a combinatorial model. One challenge for successful application of CTD in practice relates to this manual model definition and maintenance process. Another challenge relates to the comprehension and use of the test plan generated by CTD for prioritization purposes. In this work we introduce the use of visualizations as a means to address these challenges. We apply three different forms of visualization, matrices, graphs, and treemaps, to visualize the relationships between the different elements of the model, and to visualize the strength of each test in the test plan and the relationships between the different tests in terms of combinatorial coverage. We evaluate our visualizations via a user survey with 19 CTD practitioners, as well as via two industrial projects in which our visualization was used and allowed test designers to get vital insight into their models and into the coverage provided through CTD generated test plans.",,978-1-4503-3845-5978-1-5090-5571,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7582753,Combinatorial Testing;Software Visualization,Visualization;Data visualization;Atmospheric modeling;Manuals;Computational modeling;Testing;Image color analysis,program testing;program visualisation,combinatorial models visualization;test plans visualization;combinatorial test design;automatic test plan generation;matrices;graphs;treemaps;combinatorial coverage;software visualization;CTD generated test plans,,,25,,,,,,IEEE,IEEE Conferences
10th International Workshop on Search-Based Software Testing (SBST 2017),J. P. Galeotti; J. Petke,NA; NA,2017 IEEE/ACM 10th International Workshop on Search-Based Software Testing (SBST),,2017,,,1,1,"Summary form only given, as follows. SBST 2017 Workshop Summary. Search-Based Software Testing (SBST) is the application of optimizing search techniques (for example, Genetic Algorithms) to solve problems in software testing. SBST is used to generate test data, prioritize test cases, minimize test suites, reduce human oracle cost, verify software models, test service- orientated architectures, construct test suites for interaction testing, and validate real-time properties. The objectives of this workshop are to bring together researchers and industrial practitioners from SBST and the wider software engineering community to share experience and provide directions for future research, and to encourage the use of search techniques to combine aspects of testing with other aspects of the software engineering lifecycle.",,978-1-5386-2789-1978-1-5386-2790,10.1109/SBST.2017.16,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7967910,,Search problems;Software testing;Software engineering;Genetic algorithms;Software,,,,,,,,,,,IEEE,IEEE Conferences
A Fault Based Approach to Test Case Prioritization,F. Farooq; A. Nadeem,NA; NA,2017 International Conference on Frontiers of Information Technology (FIT),,2017,,,52,57,"Regression testing is performed to ensure that the no new faults have been introduced in the software after modification and the software continues to work correctly. Regression testing is an expensive process because the test suite might be too large to execute in full. Thus to reduce the cost of such testing, regression testing techniques are used. One such technique is test case prioritization. Software testers assign priority to each test case to make sure that the test cases with higher priorities are executed first, in case of not having enough resources to execute the whole test suite. Test case prioritization is mainly used to increase fault detection rate of test suite which is the measure of how early faults are detected. In this paper, we propose an approach which exploits mutation testing in order to assign priorities to test cases. Using mutation testing, we introduce different faults in original program thus creating a number of mutated copies of the program and test case that exposes maximum number of these faults is given the highest priority. We report the outcomes of our experiments in which we applied our technique to test suites and calculated the fault detection rates produced by the prioritized test suites, comparing those rates of fault detection to the rates achieved by existing prioritization technique. The resulting data shows that prioritization technique proposed improved the fault detection rate of test suites.",,978-1-5386-3567-4978-1-5386-3568,10.1109/FIT.2017.00017,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8261011,Regression testing;Test case prioritization;Mutation testing,Testing;Fault detection;Software;Minimization;Computer science;History;Information technology,fault diagnosis;program testing;regression analysis,test case prioritization;regression testing techniques;fault detection rate;mutation testing;prioritization technique;test suite prioritization;software faults,,,17,,,,,,IEEE,IEEE Conferences
A Framework for Combining and Ranking Static Analysis Tool Findings Based on Tool Performance Statistics,A. Xypolytos; H. Xu; B. Vieira; A. M. T. Ali-Eldin,NA; NA; NA; NA,"2017 IEEE International Conference on Software Quality, Reliability and Security Companion (QRS-C)",,2017,,,595,596,"This paper proposes a conceptual, performance-based ranking framework that prioritises the output of multiple Static Analysis Tools, to improve the tool effectiveness and usefulness. The framework weights the performance of Static Analysis Tools per defect type and cross-validates the findings between different Static Analysis Tools' reports. An initial validation shows the potential benefits of the proposed framework.",,978-1-5386-2072-4978-1-5386-2073,10.1109/QRS-C.2017.110,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8004389,Static Analysis;Benchmarking;Ranking,Tools;Benchmark testing;Software;Security;Ranking (statistics);Manuals;Computer architecture,program diagnostics;statistics,static analysis tool finding combination;static analysis tool finding ranking;tool performance statistics;conceptual-based ranking framework;performance-based ranking framework;defect type,,,8,,,,,,IEEE,IEEE Conferences
A General Framework for Dynamic Stub Injection,M. Christakis; P. Emmisberger; P. Godefroid; P. M?¬ller,NA; NA; NA; NA,2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE),,2017,,,586,596,"Stub testing is a standard technique to simulate the behavior of dependencies of an application under test such as the file system. Even though existing frameworks automate the actual stub injection, testers typically have to implement manually where and when to inject stubs, in addition to the stub behavior. This paper presents a novel framework that reduces this effort. The framework provides a domain specific language to describe stub injection strategies and stub behaviors via declarative rules, as well as a tool that automatically injects stubs dynamically into binary code according to these rules. Both the domain specific language and the injection are language independent, which enables the reuse of stubs and injection strategies across applications. We implemented this framework for both unmanaged (assembly) and managed (.NET) code and used it to perform fault injection for twelve large applications, which revealed numerous crashes and bugs in error handling code. We also show how to prioritize the analysis of test failures based on a comparison of the effectiveness of stub injection rules across applications.",1558-1225,978-1-5386-3868-2978-1-5386-3869,10.1109/ICSE.2017.60,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7985696,,Instruments;DSL;Computer bugs;Testing;Runtime;Debugging,binary codes;program diagnostics;program testing;specification languages,stub testing;fault injection;binary code;declarative rules;stub injection strategies;domain specific language,,,26,,,,,,IEEE,IEEE Conferences
A Greedy-Based Method for Modified Condition/Decision Coverage Testing Criterion,B. Li; C. Huang,NA; NA,2017 IEEE 36th Symposium on Reliable Distributed Systems (SRDS),,2017,,,244,246,"During software regression testing, the code coverage of target program is a crucial factor while we perform test case reduction and prioritization. Modified Condition/ Decision Coverage (MC/DC) is one of the most strict and high-accuracy criterion in code coverage and it is usually considered necessary for adequate testing of critical software. In the past, Hayhurst et al proposed a method to implement the MC/DC criterion that complies with regulatory guidance for DO-178B level A software. Hayhurst's MC/DC approach was to find some test cases which are satisfied by MC/DC criterion for each operator (and, or, not, or xor) in the Boolean expression. However, there could be some problems when using Hayhurst's MC/DC approach to select test cases. In this paper, we discuss how to improve and/or enhance Hayhurst's MC/DC approach by using a greedy-based method. Some experiments are performed based on real programs to evaluate as well as compare the performance of our proposed and Hayhurst's approaches.",,978-1-5386-1679-6978-1-5386-1680,10.1109/SRDS.2017.33,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8069087,Test suite reduction;Modified Condition/ Decision Coverage;Software testing;Fault detection effectivenes,Software;Fault detection;Flexible printed circuits;Software testing;Greedy algorithms;Software algorithms,program testing;safety-critical software,DO-178B level A software;greedy-based method;software regression testing;code coverage;test case reduction;high-accuracy criterion;critical software;Hayhurst MC-DC approach;modified condition-decision coverage;Boolean expression,,,15,,,,,,IEEE,IEEE Conferences
A novel approach to multiple criteria based test case prioritization,R. Abid; A. Nadeem,"Department of Computer Science, Capital University of Science and Technology, Islamabad, Pakistan; Department of Computer Science, Capital University of Science and Technology, Islamabad, Pakistan",2017 13th International Conference on Emerging Technologies (ICET),,2017,,,1,6,"When software is modified, it is retested to ensure that no new faults have been introduced in the previously tested code and it still works correctly. Such testing is known as regression testing. The cost of regression testing is high because the original program has large number of test cases. It is not feasible to execute all test cases for regression testing. Test suite minimization, test case selection and test case prioritization are cost commonly used techniques in regression testing to reduce the cost of regression testing. While test suite minimization and test case selection techniques select a subset of test cases, test case prioritization does not eliminate any test case, it only orders the test cases with the objective of increasing the fault detection rate. Prioritization is usually preferred over other two approaches because it does not involve the risk of losing useful test cases. Prioritization techniques assign priority to each test case on the basis of some coverage criteria. A number of different single criterion and multiple criteria based prioritization techniques have been proposed in the literature. Multiple criteria based prioritization techniques perform better than single criterion based prioritization techniques. The existing multiple criteria based prioritization techniques combine the criteria in such a way that ƒ??Additionalƒ? strategy cannot be applied on them. In this paper, we propose a new multiple criteria based test case prioritization algorithm that considers two criteria to prioritize test cases using ƒ??Additionalƒ? strategy. One criterion is considered as primary and other is considered as secondary. Primary criterion is used to prioritize the test cases whereas secondary criterion is used to break the tie among test cases when two or more test cases provide equal coverage of entities of first criterion. Our proposed multiple criteria based prioritization algorithm performs better than the existing prioritization techniques.",,978-1-5386-2260-5978-1-5386-2259-9978-1-5386-2261,10.1109/ICET.2017.8281742,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8281742,,Software;Minimization;Fault detection;Software algorithms;History;Software testing,program testing,prioritization techniques;test case prioritization algorithm;regression testing;test suite minimization;test case selection techniques;multiple criteria based test case prioritization;software modification;additional strategy,,,20,,,,,,IEEE,IEEE Conferences
A QoS Guaranteed Technique for Cloud Applications Based on Software Defined Networking,F. Li; J. Cao; X. Wang; Y. Sun,"School of Computer Science and Engineering, Northeastern University, Shenyang, China; Department of Computing, The Hong Kong Polytechnic University, Hong Kong; School of Computer Science and Engineering, Northeastern University, Shenyang, China; School of Computer Science and Engineering, Northeastern University, Shenyang, China",IEEE Access,,2017,5,,21229,21241,"Due to the centralized control, network-wide monitoring and flow-level scheduling of software-defined-networking (SDN), it can be utilized to achieve quality of service (QoS) for cloud applications and services, such as voice over IP, video conference, and online games. However, most existing approaches stay at the QoS framework design and test level, while few works focus on studying the basic QoS techniques supported by SDN. In this paper, we enable SDN with QoS guaranteed abilities, which could provide end-to-end QoS routing for each cloud user service. First of all, we implement an application identification technique on SDN controller to determine required QoS levels for each application type. Then, we implement a queue scheduling technique on SDN switch. It queues the application flows into different queues and schedules the flows out of the queues with different priorities. At last, we evaluate the effectiveness of the proposed SDN-based QoS technique through both theoretical and experimental analysis. Theoretical analysis shows that our methods can provide differentiated services for the application flows mapped to different QoS levels. Experiment results show that when the output interface has sufficiently available bandwidth, the delay can be reduced by 28% on average. In addition, for the application flow with the highest priority, our methods can reduce 99.99% delay and increase 90.17% throughput on average when the output interface utilization approaches to the maximum bandwidth limitation.",2169-3536,,10.1109/ACCESS.2017.2755768,RGC General Research Fund; National Natural Science Foundation of China; China Postdoctoral Science Foundation; Fundamental Research Funds for the Central Universities Project; CERNET Innovation Project; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8048495,Software defined networking;cloud computing;QoS;applications,Quality of service;Switches;Cloud computing;Routing;Delays;Computational modeling,cloud computing;quality of service;scheduling;software defined networking,centralized control;network-wide monitoring;cloud applications;application identification technique;SDN controller;queue scheduling technique;SDN switch;QoS guaranteed technique;software defined networking;quality of service;end-to-end QoS routing,,1,37,,OAPA,,,,IEEE,IEEE Journals & Magazines
A Regression Test Case Prioritization Algorithm Based on Program Changes and Method Invocation Relationship,W. Fu; H. Yu; G. Fan; X. Ji; X. Pei,NA; NA; NA; NA; NA,2017 24th Asia-Pacific Software Engineering Conference (APSEC),,2017,,,169,178,"Regression testing is essential for assuring the quality of a software product. Because rerunning all test cases in regression testing may be impractical under limited resources, test case prioritization is a feasible solution to optimize regression testing by reordering test cases for the current testing version. In this paper, we propose a new test case prioritization algorithm based on program changes and method (function) invocation relationship. Combining the estimated risk value of each program method (function) and the method (function) coverage information, the fault detection capability of each test case can be calculated. The algorithm reduces the prioritization problem to an integer linear programming (ILP) problem, and finally prioritizes test cases according to their fault detection capabilities. Experiments are conducted on 11 programs to validate the effectiveness of our proposed algorithm. Experimental results show that our approach is more effective than some well studied test case prioritization techniques in terms of average percentage of fault detected (APFD) values.",,978-1-5386-3681-7978-1-5386-3682,10.1109/APSEC.2017.23,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8305939,regression testing;test case prioritization;program changes;method invocation,Fault detection;Testing;Greedy algorithms;Software;Software algorithms;Complexity theory;Heuristic algorithms,integer programming;linear programming;program testing;regression analysis;software fault tolerance;software quality,program changes;method invocation relationship;regression testing;program method;method coverage information;fault detection capability;prioritization problem;integer linear programming problem;prioritizes test cases;regression test case prioritization algorithm;software product quality,,,36,,,,,,IEEE,IEEE Conferences
A survey on prioritization regression testing test case,D. Suleiman; M. Alian; A. Hudaib,"Computer Science Department, King Hussein Faculty of Computing Sciences, Princess Sumaya University for Technology, Teacher at the University of Jordan, Amman, Jordan; Basic sciences Department, Faculty of science, Hashemite University, Zarqa, Jordan; Department of Computer Information Systems, King Abdullah II for Information Technology the University of Jordan, Amman, Jordan",2017 8th International Conference on Information Technology (ICIT),,2017,,,854,862,"Regression testing is a process used to measure the validity of the system during software maintenance. Regression testing process is very expensive and must be introduced each time a modification occurs in software to ensure that the system still work and that the new modification doesn't cause any bugs, this process depends on selecting test cases from a test suite. Selection of test cases is very critical since it affect the regression testing time and effort, so that many algorithms exist to enhance regression testing process. One of the methods used to make enhancements is to select test cases using prioritization testing techniques. Prioritization techniques find the bugs early to improve regression testing efficiency by prioritizing the test cases. In this paper many regression testing prioritization techniques were reviewed and analyzed.",,978-1-5090-6332-1978-1-5090-6333,10.1109/ICITECH.2017.8079958,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8079958,component;Prioritization;Requirements;Regression;Test Cases;Test Suite;Coverage;Model;GA,Testing;Software;Genetic algorithms;Information technology;Time factors;Fault detection;Software algorithms,program testing;software maintenance,prioritization regression;test case;regression testing process;test suite;regression testing time;prioritization testing techniques;software maintenance,,,43,,,,,,IEEE,IEEE Conferences
"A Test Case Recommendation Method Based on Morphological Analysis, Clustering and the Mahalanobis-Taguchi Method",H. Aman; T. Nakano; H. Ogasawara; M. Kawahara,NA; NA; NA; NA,"2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",,2017,,,29,35,"This paper focuses on the content of test cases, and categorizes test cases into clusters using the similarity between test cases, their degree of similarity is obtained through a morphological analysis. If there are two similar test cases, they would test the same or similar functionalities in similar but different conditions. Thus, when one of them is run for a regression testing, the remaining one should be run as well, in order to reduce a risk of overlooking regressions. Once a test engineer decides to run a set of test cases, the method proposed in this paper can recommend adding similar test cases to their candidate set. The proposed method also considers the priorities of recommended test cases by using the Mahalanobis-Taguchi method. This paper reports on an empirical study with an industrial software product. The results show that the proposed method is useful to prevent overlooking regressions.",,978-1-5090-6676-6978-1-5090-6677,10.1109/ICSTW.2017.9,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7899026,regression testing;test case recommendation;morphological analysis;clustering;Mahalanobis-Taguchi method,Testing;Software;History;Indexes;Proposals;Focusing;Feature extraction,pattern clustering;program testing;recommender systems;regression analysis,test case recommendation method;morphological analysis;Mahalanobis-Taguchi method;test case categorization;regression testing;industrial software product,,1,15,,,,,,IEEE,IEEE Conferences
Adapting code maintainability to bat-inspired test case prioritization,M. M. ??zt?¬rk,"Department of Computer Engineering, Engineering Faculty, Isparta, TURKEY",2017 IEEE International Conference on INnovations in Intelligent SysTems and Applications (INISTA),,2017,,,67,72,"Time and budget constraints in developing a software create an adverse effect in terms of the adequacy of maintenance and test processes. This case can be considered as a burden for persons who account for test processes. In order to alleviate this burden, test case prioritization is one of the solutions. A nature-inspired method namely BITCP, which was developed based on bat algorithm, produced promising results. However, this method does not involve test case elements with respect to the code maintainability. In this work, the correlation between some code maintainability indicators including WMC, LCOM, and Coupling and cyclomatic complexity is investigated. IMPBITCP appears after adapting the results of the investigation to BITCP. The method is then compared with well known alternatives such as greedy-search, particle swarm optimization, and BITCP. The experiment involving six open source project showed that IMPCBITCP outperformed the others with respect to the APFD. The findings of the work indicates that if the factors affecting code maintenance are considered while developing test case prioritization techniques, APFD results becomes high and stable.",,978-1-5090-5795-5978-1-5090-5796,10.1109/INISTA.2017.8001134,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8001134,bat algorithm;test case prioritization;nature inspired methods,Complexity theory;Software;Couplings;Time-frequency analysis;Libraries;Genetic algorithms,optimisation;program testing,code maintainability;bat-inspired test case prioritization;BITCP;WMC;LCOM;cyclomatic complexity;APFD,,,27,,,,,,IEEE,IEEE Conferences
ALOJA: A Framework for Benchmarking and Predictive Analytics in Hadoop Deployments,J. L. Berral; N. Poggi; D. Carrera; A. Call; R. Reinauer; D. Green,"Barcelona Supercomputing Center, Universitat Polit??cnica de Catalunya, Barcelona, Spain; Barcelona Supercomputing Center, Universitat Polit??cnica de Catalunya, Barcelona, Spain; Barcelona Supercomputing Center, Universitat Polit??cnica de Catalunya, Barcelona, Spain; Barcelona Supercomputing Center, Universitat Polit??cnica de Catalunya, Barcelona, Spain; Microsoft Corporation, Redmond, WA, USA; Microsoft Corporation, Redmond, WA, USA",IEEE Transactions on Emerging Topics in Computing,,2017,5,4,480,493,"This article presents the ALOJA project and its analytics tools, which leverages machine learning to interpret big data benchmark performance data and tuning. ALOJA is part of a long-term collaboration between Barcelona Supercomputing Center and Microsoft to automate the characterization of cost-effectiveness on big data deployments, currently focusing on Hadoop. Hadoop presents a complex run-time environment, where costs and performance depend on a large number of configuration choices. The ALOJA project has created an open, vendor-neutral repository, featuring over 40000 Hadoop job executions and their performance details. The repository is accompanied by a test bed and tools to deploy and evaluate the cost-effectiveness of different hardware configurations, parameters, and cloud services. Despite early success within ALOJA, a comprehensive study requires automation of modeling procedures to allow an analysis of large and resource-constrained search spaces. The predictive analytics extension, ALOJA-ML, provides an automated system allowing knowledge discovery by modeling environments from observed executions. The resulting models can forecast execution behaviors, predicting execution times for new configurations and hardware choices. That also enables model-based anomaly detection or efficient benchmark guidance by prioritizing executions. In addition, the community can benefit from ALOJA data sets and framework to improve the design and deployment of big data applications.",2168-6750;2376-4562,,10.1109/TETC.2015.2496504,"European Research Council through the European Unionƒ??s Horizon 2020 Research and Innovation Programme; Ministerio de Econom??a y Competitividad, Spain; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7312954,Data-center management;Hadoop;benchmarks;modeling and prediction;machine learning;execution experiences,Benchmark testing;Hardware;Predictive models;Software;Analytical models;Licenses;Big data,Big Data;cloud computing;data analysis;data mining;learning (artificial intelligence);parallel processing,ALOJA data sets;ALOJA project;big data benchmark performance data;long-term collaboration;Barcelona Supercomputing Center;big data deployments;complex run-time environment;open vendor-neutral repository;different hardware configurations;resource-constrained search spaces;predictive analytics extension;ALOJA-ML;automated system;Big data applications;Hadoop job executions,,,25,,,,,,IEEE,IEEE Journals & Magazines
An Empirical Comparison of Similarity Measures for Abstract Test Case Prioritization,R. Huang; Y. Zhou; W. Zong; D. Towey; J. Chen,NA; NA; NA; NA; NA,2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),,2017,1,,3,12,"Test case prioritization (TCP) attempts to order test cases such that those which are more important, according to some criterion or measurement, are executed earlier. TCP has been applied in many testing situations, including, for example, regression testing. An abstract test case (also called a model input) is an important type of test case, and has been widely used in practice, such as in configurable systems and software product lines. Similarity-based test case prioritization (STCP) has been proven to be cost-effective for abstract test cases (ATCs), but because there are many similarity measures which could be used to evaluate ATCs and to support STCP, we face the following question: How can we choose the similarity measure(s) for prioritizing ATCs that will deliver the most effective results? To address this, we studied fourteen measures and two popular STCP algorithms - local STCP (LSTCP), and global STCP (GSTCP). We also conducted an empirical study of five realworld programs, and investigated the efficacy of each similarity measure, according to the interaction coverage rate and fault detection rate. The results of these studies show that GSTCP outperforms LSTCP - in 61% to 84% of the cases, in terms of interaction coverage rates; and in 76% to 78% of the cases with respect to fault detection rates. Our studies also show that Overlap, the simplest similarity measure examined in this study, could obtain the overall best performance for LSTCP; and that Goodall3 has the best performance for GSTCP.",0730-3157,978-1-5386-0367-3978-1-5386-0368,10.1109/COMPSAC.2017.271,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029584,Software testing;test case prioritization;abstract test case;similarity,Testing;Fault detection;Software;Computer science;Software product lines;Fault diagnosis;Algorithm design and analysis,program testing,global STCP;local STCP;ATC;abstract test case prioritization;similarity measures,,2,25,,,,,,IEEE,IEEE Conferences
